description,country,variety
"This is a blend dominated by 85% Touriga Nacional from a single vineyard near the Serra da Estrela mountain range. The relatively cool climate shows in the crisp red fruits and the strongly mineral texture. The wine has an obvious aptitude to age further with its tannins and acidity still prominent, so drink from late 2018.",Portugal,Portuguese Red
"Known as Tinta Amarela in the Douro, this ripe, spicy, minty grape has a strong medicinal character. But allied as it is here with dark plum skins, fine acidity and dense tannins, it makes a powerfully rich statement.",Portugal,Trincadeira
"A second wine from the Pintas range of Jorge Serodio and Sandra Tavares, this is a big, forward wine, pushing out ripe red plum and strawberry fruits. It's almost sweet in its ripeness.",Portugal,Portuguese Red
"Named after a Portuguese dance, this fresh, fruitcake and blackberry-flavored wine is easily ready to drink, a wine that powers through with its sweet, juicy fruit and final acidity.",Portugal,Portuguese Red
This top wine from Quinta Vale Dona Maria comes from a small parcel of old vines on the estate close to the river Torto. Foot treading in lagars give the wine its richness and sumptuous character. It also provides tannins that are cushioned by the superripe black fruits and acidity. This long-term wine shouldn't be touched until 2020.,Portugal,Portuguese Red
"The original vineyard owned by winemaking husband and wife Jorge Borges and Sandra Tavares da Silva, this is halfway up the Pinhão Valley, close to some of the greatest Douro vineyards. Pintas is now well established as a Douro classic. It is powered by tannins at this stage, but the structure, the lush fruit that comes from fermentation in open lagars and the sheer density of the wine, speak of greatness. Drink from 2019.",Portugal,Portuguese Red
"Made from vines planted over a century ago and fermented in open lagars, this is a powerful and magnificent wine. With great tannins forming the base for opulent fruits black fruits and a serious structure, it should age for many years. Drink from 2020.",Portugal,Portuguese Red
"Vines over 50 years old are the background to this impressive wine. It's produced from a field blend of over 20 different varieties that assembled together give an enormous wine that's solid with tannins and lush fruits. With so much structure and concentration, it will need many years. Drink from 2018.",Portugal,Portuguese Red
"This is a powerful wine, complex and structured. From one of the Douro's top quintas, now fully on form, this is full of red fruits, blackberries and acidity that's still so young. Concentrated and demanding aging, this should be kept at least until 2018.",Portugal,Portuguese Red
"Packed with fruit, minerality and impressive wood-aging flavors, this is a single-parcel wine of immense power. Black fruits and tannin share the honors, giving structure and density. It's a wine for long-term aging, solid and concentrated. Drink from 2019.",Portugal,Portuguese Red
"Long wood aging and a selection of grapes from old vines have produced this firmly structured and concentrated wine. It is full of black plum-jelly flavors shot through with acidity. A solid, dry core promises even further aging. At the end, acidity gives a juicy, delicious aftertaste. Drink from 2017.",Portugal,Portuguese Red
"Cabaços believes in releasing its wines when they are ready to drink. That's why it's possible to drink this Reserva for the first time. It's a magnificent, powerful wine, packed with dark fruits that are now mature. The opulent Alicante Bouschet is the backbone of the wine along with the more structured Touriga Nacional. Drink now.",Portugal,Portuguese Red
"This rich wine is balanced and ripe, with spice, sweet sultana and raisin fruitiness and a light shot of acidity. The aftertaste brings out fresh red fruits that are cut by the spirit and acidity to leave a full feeling in the mouth.",Portugal,Port
"Named after the 13th-century house at the center of the estate, this is a rich, full-bodied wine. With citrus flavors at its heart, it also shows a texture that gives minerality from the granite soil, followed by juicy yellow fruits and finishing with intense acidity. Give this wine until mid-2015 to settle down.",Portugal,Alvarinho
"Crisp and fruity, this is a bright wine with plenty of citrus flavors and a touch of saltiness from the ocean close to the vineyards. It has a fine tang, zesty orange and lemon and forward acidity. Drink now.",Portugal,Portuguese White
This light wine is gently fruity and with the minimum of tannins. It is juicy with acidity and red-berry fruits. The partial wood aging has smoothed out the ripe blend of most of the major grapes of the Douro. Drink now.,Portugal,Portuguese Red
"Fresh, crisp Arinto gives a fine lemon and sliced apple character to this light soft wine. With its bright fruit, crisp acidity and tangy texture, it is totally ready to drink.",Portugal,Arinto
"This simple, ripe and fruity wine is soft and juicy. Its red fruits, balanced acidity and blend of Trincadeira and Aragonâs are totally ready for instant drinking.",Portugal,Portuguese Red
"Delicately perfumed, yellow and tropical-fruit flavored, this is bright and very fruity. The citrus edge adds a further lift to this refreshing, ready-to-drink wine.",Portugal,Portuguese White
A pale-colored wine that has an attractive yeasty character that matches well with the crisp red fruits. It has a hint of tannin as well as red berries. The wine is fruity and ready to drink.,Portugal,Portuguese Sparkling
This wine may not have much of Syrah's typical character but it certainly does have rich black fruits and a ripe texture. It is full and very ripe with its tannic structure well integrated into the full-bodied fruitiness. Drink now.,Portugal,Syrah
"A creamy textured, citrus-flavored wine that is ripe and smooth. It has a crisp fresh character with its lemon and ripe melon fruit and bright acidity. The aftertaste continues the crisp, fruity theme.",Portugal,Portuguese White
"This is a smooth, clean, attractive wine that is bright and crisp. Lemon and pink grapefruit give the fine fruitiness while the acidity and lightly mineral texture add the structure. Drink now.",Portugal,Portuguese White
"A blend of Syrah, Castelão and Aragonez, this is a ripe, full wine that has fine soft fruit. The tannins give just the right edge to the red fruits and final acidity. Drink now.",Portugal,Portuguese Red
"Surprisingly soft for a Cabernet, this is a rich, generous wine with very ripe black fruits and a minimum of tannins. It is dense and ready to drink.",Portugal,Cabernet Sauvignon
"With its fine tannins and touch of acidity to lift the berry fruits, this is a stylish, wood-aged wine. It is ready to drink with its spice and ripe fruit character.",Portugal,Portuguese Red
"This is an easy-drinking, smooth and generous wine. With its light tannins and red berry fruit, it is ready to drink young. The aftertaste adds some acidity to give a lift.",Portugal,Portuguese Red
"Smooth, rounded wine, with vanilla, ripe pear and a bitter herbal finish. The wine feels fat, unfocused.",Portugal,Portuguese White
"An earthy wine, softly fruity, with cantaloupe melon and pear flavors. It's simple, attractive, light.",Portugal,Bical
"Pink in color, a smooth wine, layered in caramel, missing real fruit.",Portugal,Rosé
"Ripe and fruity, with some sweetness that does not seem to be fully integrated. So the green plum flavors are attractive, as is the acidity, but there is an intrusive sugary edge.",Portugal,Portuguese White
"This 100% Touriga Nacional comes from the government-owned estate in the north of Tejo. Named after the barn owl that is found in the woods, the wine is structured with dense tannins as well as concentrated black fruits. It is balanced with its fruit and structure already working well together, but it will need time. Drink from 2019.",Portugal,Touriga Nacional
This fine low-production wood-aged wine is almost Burgundian in its creamy richness. The toast is nicely judged giving a wine that has just enough acidity and has plenty of textured apple and grapefruit flavors. The wine is named after the year of the creation of the Companhia das Lezirias.,Portugal,Fernão Pires
"This limited production wine comes in a fancy bottle with wax seal. It is a rich blend of Touriga Nacional along with Merlot, which smooths out the structure and gives the wine its intensity and dense texture. It is a ripe smoky wine, packed with juicy black fruits and flavors of the wood aging. Drink now.",Portugal,Portuguese Red
"High-altitude vines yielded this full while also crisp wine. It is fruity, touched by caramel and spice and some toast flavors from wood aging. This is a rosé style that goes with food.",Portugal,Portuguese Rosé
"Produced from a field blend of 41 different varieties of 60-year-old vines, this estate wine from Cristiano van Zeller is powerful and dense while having such style. Smoothly polished, rich and concentrated. The wine is perfumed, full of black plum skins and with light acidity at the end. Drink from 2020.",Portugal,Portuguese Red
"The liquorous old gold color of this wine indicates the long barrel aging. It is rich with spice, dried fruits and old wood flavors all finely interwoven. The wine, which originated in a field blend of old vines, has a final shot of acidity to bring it to life.",Portugal,Port
"From vines planted in 2004, this wine celebrates daughter Francesca's 18th birthday and is a ripe impressive wine that is rich and smoothly textured. A blend of classic Douro grapes, especially Tinta Francisca, the wine is full of black fruits and ripe tannins. It will be ready from 2019.",Portugal,Portuguese Red
"This 1967 is part of Taylor Fladgate's regular releases of aged Colheita. It is showing a perfect moment in which the fruit finally passes into old gold maturity. The wine still has hints of sultanas, but now it's the fine wood and spice character that is equally important. The wine, of course, is ready to drink and will not age further.",Portugal,Port
"This is a superb blend of aged tawny Ports, blended to celebrate the company's 325th anniversary. Filled with rich fruit, it has great depth and spicy richness although it is also impressively fresh. Dried fruits and red plums are lifted with a hint of smoky wood and good acidity. Like any tawny Port, it is ready to drink.",Portugal,Port
"Beautifully perfumed, this is a ripe and structured wine. It has fine dusty tannins, intense blackberry fruits and a dark-licorice aftertaste. Acidity keeps the wine fruity and fresh although with those firm tannins, it will need time. Drink from 2027.",Portugal,Port
This wine is ripe with tannins and powerful with ripe fruit. A solid character gives it density. The tannins and the richness of the wine are ripe and concentrated with fruit. Drink from 2026.,Portugal,Port
"Six grapes are in the blend of this generous, opulent wine. It has fine, velvet-smooth tannins, with a background dryness that gives structure. Black fruits shine through, enhanced by the spice and toast of the wood aging. Drink from 2019.",Portugal,Portuguese Red
"Powerful, dusty tannins dominate this ripe wine. With its great blackberry fruits, currants and juicy acidity, it is already balanced. The power comes from the dry tannins and the rich, concentrated fruits. Drink from 2026.",Portugal,Port
"A blend based on Alicante Bouschet, this ripe and rich wine is appropriately dark in color. It is a firm wine, full of juicy black plum fruits and dense tannins. With weight and considerable richness, it is a complex wine that is developing slowly but surely. Drink from 2018.",Portugal,Portuguese Red
"The 170 acre Rocim estate has produced a serious, dense and powerful wine. It is rich, powered by blackberry and dark plum and damson flavors. The acidity that's there is enough to contrast with the ripe fruitiness while the tannins and layers of wood flavors both promise considerable aging. Drink from 2018.",Portugal,Portuguese Red
"A serious and dense wine, this is rich and full of dark juicy fruit. It has plenty of structure of course, with its rich tannins and wood aging flavors right up front. The acidity is perfumed, underlining the ripe fruit. Drink this concentrated wine from 2018.",Portugal,Castelão
"The wine has strongly catty aromas that seems to dissipate on the palate. A tense, mineral-driven acidity carries gooseberry flavors and a herbal aftertaste. Drink now.",Portugal,Portuguese White
"Produced from high altitude vineyards to retain acidity, this is a fruity, crisp and bright wine. It has an herbal character along with lively lemon and quince flavors. The wine is ready to drink.",Portugal,Portuguese White
"Fresh and fruity, this is a blend of local white grapes with Sauvignon Blanc is light-bodied and crisp. Full of citrus and herbal flavors, this is an easy wine to enjoy. Drink now.",Portugal,Portuguese White
"This wine has geranium aromas and a fruity character. Its tannins are dry and disjointed from the fruit. Unbalanced at this stage, it needs time to balance.",Portugal,Port
"This is a richly structured wine. With its juicy red fruits and generous structure, it is delicious now. Berry flavors and acidity go with the mineral edge of the texture to create a wine that is packed with acidity, tannins and fruit. Drink now.",Portugal,Portuguese Red
"This blend of local Douro white grapes with, unusually, Chenin Blanc, is delicious. With its wood-aged touch and rich creamy texture, the wine is generous and full. It has attractive acidity as well, emphasizing the apple and grapefruit fruit. The wine will be even better from 2018.",Portugal,Portuguese White
"This is a rich wine, full of dark fruits and generous tannins. It has swathes of spice as well as the firm black-plum-skin and blackberry flavors. The dense texture and the acidity suggest a few more months aging, so drink from early 2018.",Portugal,Portuguese Red
"This is a ripe, lemon and orange zest-driven wine. It has a lightly mineral texture that gives structure as well as a cool feel. It's a delicious wine already but will be better by late 2014.",Portugal,Portuguese White
"This is pure fruitiness, a wine packed with spice, berry fruits and soft, open tannins. It is a great barbecue-style wine, ripe, with good acidity and a bright, crisp aftertaste. Drink now.",Portugal,Portuguese Red
"A perfumed, spicy and ripe wine, wood flavors balanced by great wafts of black fruit. It is elegant, with a significant wood element. It will develop over 3–4 years, bringing more of the fine berry fruits.",Portugal,Touriga Nacional
"New wood aromas give minty character to this wine. The palate is dominated by that wood, which covers the fruit and just leaves structure. Considering that the wine is now five years old, this imbalance will probably remain.",Portugal,Portuguese Red
"A fruity tawny, with cherry-jelly flavors plus attractive acidity that balances the sweet, simple, forward flavors. Perhaps drink it as an apéritif, easy and fragrant.",Portugal,Port
"Fresh and fruity, the wine is attractive, citrus-driven and light. It has a zesty character that zings through the palate. Drink now.",Portugal,Portuguese White
"This is a tight, structured wine that shows more tannin than fruit. It has a lean austere character that needs to soften. Acidity at the end does show evidence of red currant and berry fruits. It will certainly be better if drunk after 2017.",Portugal,Touriga Nacional
"This is a ripe, fruity wine that has both tannins and generous of black fruits. The combination has produced a rounded, fruity wine that is sustained by its structure although it is very ready to drink now.",Portugal,Portuguese Red
"Fine ripe fruit pushes through the young tannic structure in this fresh wine. It still has an edge of tannin which balances well with the red berry fruits. Acidity cuts through everything to leave a crisp, blueberry flavored aftertaste.",Portugal,Portuguese Red
"Winemaker Leonor Freitas runs her vineyard just south of Lisbon. This soft, fruity blend is light in both tannins and acidity. It's fresh in character, giving a ripe wine that is ready to drink now.",Portugal,Portuguese Red
"While there is plenty of fruit here, there is also a rustic, barnyard edge that is less attractive. The wood aging has produced some spicy flavors and tannins to give the wine structure.",Portugal,Portuguese Red
"The combination of acidity, dark fruits and a minerality give this wine both great density and a fine potential. It is firm, showing the terroir of the Douro well in its grainy texture while also bringing acidity into play. It is young, concentrated and needs to age. Drink from 2017.",Portugal,Portuguese Red
"This is a rich, smooth wine that has ripe fruit and plenty of smooth plum flavors. It has some spice, balanced acidity and a fine dense texture. The wine, with its fresh aftertaste is ready to drink.",Portugal,Port
"This is a wood-aged Touriga Nacional that is smooth and rich. It shows some extraction offering dark chocolate flavors that cover the fruit, yet happen to provide a ripe, rounded feel. Drink from 2017.",Portugal,Touriga Nacional
"Named after the Knights Templar who were headquartered in the Tejo region of Portugal in the Middle Ages, this estate has produced a fruity, soft and rounded white wine. It has an attractively aromatic character from the inclusion of Riesling and Moscatel in the blend. Wait until the end of 2015 before drinking.",Portugal,Portuguese White
"Wood aging gives this ripe wine its toasty character. This texture is balanced by rich peach and apricot fruits, rounded and fruity. Old vines bring an extra concentration to this full, generous wine. Drink from 2016.",Portugal,Portuguese White
"This dark wine is still packed with tannins that give a dense, solid character. The acidity brings out the natural juiciness of the fruit but it does need a few more months to soften and round out. Wait until 2015.",Portugal,Touriga Nacional-Cabernet Sauvignon
"This dark, structured wine, with its balanced blend of Touriga Nacional, Touriga Franca and Tinta Roriz, is firm with tannins and dense berry fruits. Full in the mouth, it is a concentrated wine that brings out a strongly chalky texture. The wine is still moving towards a rich future. Drink from 2017.",Portugal,Portuguese Red
Somebody obviously went to Alsace to come up with this blend of Riesling and Gewürztraminer. It does have some botrytis which gives a honeyed character to the wine. It also has wonderful freshness that gives it such a lift and brings out the apricot fruit flavors. Drink now.,Portugal,White Blend
"Pure Alicante Bouschet, this wine is rich and generously ripe. At this young stage it does seem to have surfeit of toasty wood and hopefully this will integrate. It's certainly not shy, with its bold black currant flavors and balanced acidity. Drink this wine from 2017.",Portugal,Alicante Bouschet
"With Anselmo Mendes, the Vinho Verde master, as consultant, this is a coastal Lisboa wine that has plenty of the crisp texture that comes from the Alvarinho in the blend. There is a perfumed touch from Viognier, giving the wine crispness as well as a rich background. Drink this wine from 2018.",Portugal,Portuguese White
"Lightly wood aged, this pure Touriga Nacional wine brings out the structure of the grape and the minerality of the region. It is rich, firmly textured with dark tannins as well as black currant fruits. The wine is ripe and ready to drink.",Portugal,Touriga Nacional
"This is a concentrated blend of local grapes. The Syrah and Cabernet Sauvignon give it a rich texture. It is a complex balance of tannins, spice and ripe blackberry fruits. The acidity and tight aftertaste suggest it is still young. Drink from 2017.",Portugal,Portuguese Red
"From vineyards at 2000 feet elevation, this is a rich and spicy wine that has a pure streak of fruit freshness and a firmly tannic core. It is perfumed from Touriga Nacional in the blend, with red berry and black plum flavors coming through strongly along, balanced by acidity. It will be better from 2017.",Portugal,Portuguese Red
"This blend of Arinto and Chardonnay is crisp and fresh, showing the cool, ocean climate of the Lisboa region in its light, bright texture. It is juicy with peach and pineapple flavors cut by lime-juice acidity. Drink now.",Portugal,Portuguese White
"A blend that includes Merlot, this wine is ripe while also structured. The tannins go along with the black fruits and acidity. It has a crisp, juicy finish that makes it ready to drink now.",Portugal,Portuguese Red
"This wine is deliciously fruity and crisp, with perfumed red fruit and lively acidity. Bone dry, and full of bright fruitiness, it makes a classic, easy to drink apéritif wine.",Portugal,Rosé
"A classic Dão blend, which includes Alfrocheiro and Jaen grapes, this is produced by top winemaker Alvaro Castro. A year in oak has given it richness and a smooth, almost velvety character. Underneath this surface, the tannins are all there, balancing the ripe fruit flavors. It will develop well; drink from 2017.",Portugal,Portuguese Red
"This dense wine full of dusty tannins and serious fruit is ripe and full while structured and elegant. It comes from the heart of the hills north of Lisbon, allowing room for a big, full-powered character as well as a fresher, blackberry fruitiness. The wood aging is still showing even after four years, so the wine still needs more time. Drink from 2016.",Portugal,Portuguese Red
"This is a powerful, ripe and generously fruity wine. With red berry and rich spice from wood aging, it is dense, complex and aromatic. Minerality and dark, dry tannins show the wine needs to age. Drink from 2018.",Portugal,Portuguese Red
"This balances dried fruits and rich red berries with toast and a layers of dryness from the wood aging. It is opulent, generous and well balanced. As with all aged tawnies, drink now.",Portugal,Port
"Hand-selected bunches from the Porto Franco estate of DFJ Vinhos went into this complex wine. It has solid tannins and a firm black-fruit character. The wood aging shows well and is already balanced, melding the fruit and structure together. Drink now.",Portugal,Portuguese Red
"Large French oak barrels were used to ferment this toasty, ripe wine, which boasts notes of stone fruit and citrus. A mix of cool-climate Portuguese grapes and Chardonnay, it will smooth out and become rich and complex with time; drink after 2016.",Portugal,Portuguese White
"Structured, this oozes blackberry fruitiness as well as a balanced layer of dry tannins. The wine is fruity and rich while keeping its elegance. A core of tannins and fresh acidity in the fruit promise that this wine will age. Drink from 2017.",Portugal,Portuguese Red
"Structured and firm, this dense wine shows strong tannins, dark black fruits and very ripe flavors. With weight, concentration, it is now mature.",Portugal,Portuguese Red
"This light, bright and very fruity wine almost dances on the palate. Peach and apple skin flavors bring out a crisp, green acidity. A touch of minerality and texture give the wine character. Drink now.",Portugal,Loureiro
"Mint aromas and flavors lead to an intense wine that is powered at this young stage by firm, serious tannins. It has great richness from the black plum fruits, and a spicy, herbal character that adds complexity. From consultant Luis Duarte, this is a wine for long-term aging; hold for 6–7 years or more.",Portugal,Portuguese Red
"The top wine from Sogrape's Dão flagship quinta, this is a selection of the best parcels. It's a powerful, serious wine, showing great regional characters of dark, mineral tannins and rich black fruits. There's a fine line of juicy acidity that cuts through the firm structure. Age this major wine for at least six years.",Portugal,Portuguese Red
"From the mountainous far east of Portugal, the dense, granite feel of this wine is palpable and potent. It has weight, balanced by intense acidity, stalky black currant fruits and a core of dark, firm tannins. Age this concentrated wine for at least 3–4 years.",Portugal,Portuguese Red
"Still structured and with its tannins, this wine has the potential to develop well. Black currant and plum fruits bestow a dense, fruity character. Drink this wine from 2020.",Portugal,Portuguese Red
"This wine is both fruity and structured, full of black fruits and firm tannins. Drink this solid wine from 2020.",Portugal,Portuguese Red
"This producer focuses on Rhône Valley varietals, and this wine continues the theme. Its apricot and very fine mineral texture are impressive and rich. Touched by spice from wood aging, the wine is generous, with the potential of a creamy, smooth texture as it ages. For now, it is fruity and rich. Drink from 2018.",Portugal,Viognier
"Fruity and crisp, this wine hails from an estate owned by the Amorim family of cork fame, Red-berry flavors come through strongly along with spice and wood-aging flavors. The wine also has acidity, lightly toasty and with a core of tannins. Drink from 2018.",Portugal,Portuguese Red
"This is a soft, tropical-fruit flavored wine. It has a tangy, mineral texture that cuts through the riper fruitiness to give a wine that is easy and very drinkable now.",Portugal,Portuguese White
"A ripe and soft blend of Portuguese grapes with a touch of Viognier, this is a smooth, creamy textured wine. The acidity is just right to give the wine its tight, steely aftertaste. Drink now.",Portugal,Portuguese White
"Rustic, barnyard aromas give a wine that is tight with tannins and tough to handle. It is concentrated, very dry with only hints of rich black fruits. It will probably remain dense and tannic.",Portugal,Portuguese Red
"This is a wine that's ready to consume, with its ripe red fruits and spicy tannins. It is smooth with just a bite of structure along with considerable acidity. The wine is balanced and attractive in a summer barbecue style.",Portugal,Portuguese Red
"Alvarinho with a prickle is unusual, as is a Vinho Verde that has been aged an extra year before release. The wine doesn't quite work because it has lost its fruit and developed a strong pepper and spice character. The acidity at the end is the most characteristic part of the wine.",Portugal,Alvarinho
"This is a ripe, fruit-forward wine. It has black currant and some attractive acidity. It seems to miss out on the structure and firm texture that would be expected from a Douro wine, so it is possible to drink now.",Portugal,Portuguese Red
"The wine has a rustic, barnyard character that will maybe blow off. For now, the fruit is subdued and layered with dry tannins and acidity. It could develop, so wait until 2017.",Portugal,Portuguese Red
"A soft wine that has ripe red fruits and gentle tannins. Ready to drink immediately, it is fruity with spice, black cherry and acidity all in balance.",Portugal,Portuguese Red
"This is a fruity, soft wine with a light texture and plenty of citrus fruits. It is crisp, clean with a hint of perfumes and a herbal edge that comes from the Sauvignon Blanc in the blend. The wine is ready to drink.",Portugal,Portuguese White
"With its dense color and sweet fruits, this is wine that works well, with a great rich, soft texture. There is a concentrated juicy and jammy character, with final approachable spice and acidity.",Portugal,Port
"Delicious sweet raisin and mulled wine fruit, full of herbs and nutmeg spice. This is a ripe wine, but too heavy, showing some austerity, but no sign of tiring.",Portugal,Port
"Initially it seems very dry, but there is freshness as well. The wine has a sweet, jelly core, with soft tannins, well balanced. Raisins and black figs dominate, with the aftertaste bringing a firming of tannins and structure. Powerful and impressive.",Portugal,Port
"A smooth and ripe wine, packed with black fruits and some firm tannins that lend support. It is structured, juicy and full of strong spice, with dense texture. It should age a while longer, so drink from 2017.",Portugal,Portuguese Red
"This is a satisfying, ripe and rich wine. It has big layers of red fruits, attractive spice from partial wood aging and fresh acidity. Still young, it will be even better from early 2016.",Portugal,Portuguese Red
"Fermented in open granite lagars, this rich wine with its violet aromas is generous and has considerable power. It comes from a great vintage and shows that in its dark fruits and still-firm tannins. This is a serious wine, showing the grapes from the hard soils of the Dão at their best. Drink from 2019.",Portugal,Touriga Nacional
"This is classic Petit Verdot in Portugal: dark red, structured and firmly tannic with great fruits. The grape, normally found in Bordeaux, seems to be very much at home in this schist soil and hot climate of the Douro. Its tannins are there, but the blackberry fruit and acidity are just as important. Drink this from 2018.",Portugal,Petit Verdot
Touriga Nacional is the principal component of this rich blend from the lower Douro vineyards of Valle da Fonte. It is a concentrated wine with black plum and spice flavors. They are underlined by the dark tannins and black chocolate. This makes for a wine that needs further aging. Drink from at least 2019.,Portugal,Portuguese Red
"This producer, firmly established in Vinho Verde and the Douro, also has vineyards at Quinta da Aguieira in the central coastal region of Bairrada. A blend of local white grapes along with some Chardonnay, this wine is ripe, with a touch of saltiness and minerality, plus plenty of concentration from old vines. With its rich texture and crisp aftertaste, this is ready to drink.",Portugal,Portuguese White
"This is full of ripe plum and black cherry flavors that are richly textured and spiced. It has an elegant side, which makes for a round, full-bodied finish, and it has the potential to age well.",Portugal,Portuguese Red
"Named as commemoration of the Knights Templar whose Portuguese headquarters were in nearby Tomar, this is a seriously rich, opulent wine, full of red berry fruits and dark spices. Flavors of damson, strawberry jelly as well fine acidity all come through. Age for 3–4 years.",Portugal,Portuguese Red
"Orange peel aromas emerge on this delectable fortified Moscatel. Aging in barrel for at least three years has given it roundness and some old toast character that adds to the dried raisin and apricot flavors. Not for aging, drink now.",Portugal,Moscatel
"An impressive wine that shrugs off the alcohol in favor of superrich fruit, intense and integrated tannins and an excellent aging potential. The wine is solid, packed with juicy black fruits. It needs at least four years.",Portugal,Portuguese Red
"A soft, open wine with only light tannins. The fruit is just as light, with strawberry and some spice. For drinking now.",Portugal,Portuguese Red
"A rare, maybe unique, blend of Arinto and Sauvignon Blanc, which imparts a curiously mineral character. The fresh character of both grape varieties seem lost in the rounded character of the wine.",Portugal,Portuguese White
"Still young and closed up, this wine is all about the future. It has rich fruits contrasted with ripe acidity, and is given a push by the wood-aging flavor. It will need some time, so don't drink this generous wine until 2017.",Portugal,Portuguese Red
"Rich and bold, it's a blend of Cabernet Sauvignon and Tinta Roriz, both giving a floral character as well as some concentrated tannins. The dry structure and the intense acidity at the end suggest some aging. Drink from 2015.",Portugal,Portuguese Red
"A ripe, spicy and juicy wine that has good acidity and balanced tannins. It's a blend: the smooth character of the Aragonez (aka Tempranillo) combines with the more tannic firmness of Cabernet Sauvignon. Together, they produce a fruity, structured wine that is ready to drink.",Portugal,Portuguese Red
"Densely tannic, this is a dark, rich, intense wine. The mature dusty tannins are balanced by acidity, black currant fruitiness and finished with a dry core. It's ready to drink.",Portugal,Portuguese Red
"Produced from selected parcels of fruit in top vintages, this is the flagship wine from this Jorgensen family estate. Aragonez and Syrah dominate this ripe still-young wine. It is rich and concentrated with powerful tannins and layers of acidity, dark chocolate flavors and generous black-plum flavors. It will certainly age further and this fine wine will be best drunk from 2019.",Portugal,Portuguese Red
"This is an impressive Touriga Nacional from its home region. Aged for 12 months in wood, it has mint and eucalyptus flavors to add to the dark tannic fruit. Blackberries and juicy acidity are combined with the core of tannins to deliver a powerful statement that needs some more time to mature. Drink from 2019.",Portugal,Touriga Nacional
"A firmly tannic wine, with a woody core. It shows stalky black currant fruit along with tense acidity. At this stage, it is rough round the edges and could use  another year.",Portugal,Portuguese Red
"Firm, earthy and fruity, this is a chunky wine, with a core of tannins to go with the fruit. It is not for aging, its black berry juice demanding attention now. A great barbecue wine.",Portugal,Portuguese Red
"Smooth, soft wine, very accessible and up-front. The stewed fruit flavors and fresh acidity give an attractive lift to this open wine.",Portugal,Portuguese Red
"A fruity, fresh and crisp wine, this is given some weight by the inclusion of Chardonnay in the blend. It has an attractive texture, and the lemon and grapefruit flavors dominate.",Portugal,Portuguese White
"An upfront, strawberry-flavored wine, this is ripe and immediately fruity. There are enough tannins to hold the palate together, but it is ready to drink now.",Portugal,Portuguese Red
"It is the Fernão Pires that gives this wine its class and freshness. The Sauvignon Blanc in the blend, with its herbaceous character, seems to clash. The wine is crisp with lemon flavors and brings an intense final acidity.",Portugal,Portuguese White
"Bright pink in color, this 100% Touriga Nacional rosé is ripe with caramel and red berry flavors. It misses out on acidity, leaving the wine flat at the end.",Portugal,Rosé
"There are big tannins here on this rich, powerful wine, warm and ripe. There is a dry core, giving a dark, youthful herbal character, and the tannins along with final acidity. Although it is ready to drink, it also promises many years of aging.",Portugal,Port
"A well-balanced wine, bringing both rich fruit and sweet tannins to go with dense concentration. There is ripeness from black jam and sweet jelly, followed by a good core of dryness.",Portugal,Port
"This is a lively, fruity wine, crisp as can be, and finely textured. Drink now for its bright, fresh character.",Portugal,Portuguese White
"Refreshing and crisp, this is a light, citrus-flavored wine. Great shots of acidity course through the wine to give an intensely fresh and fragrant aftertaste.",Portugal,Portuguese White
"Crisp and fresh, the wine is bright and fruity. It has strong green and white fruit flavors that are given a boost by the touch of vanilla. It's a food wine, dry, fragrant and ready to drink.",Portugal,Siria
"Dominated by juicy Castelão, this lightly structured wine has fine tannins to propel the berry fruits up to the front. It is rich and full-bodied with a touch of pepper from the alcohol. The aftertaste brings out fresh acidity and softness.",Portugal,Portuguese Red
"Big, dry and tannic wine, this is a dense and structured wine. Black chocolate and coffee flavors suggest extraction shows strongly in the tough texture. The wine will be filled out as the black fruits develop, so wait until 2018.",Portugal,Portuguese Red
"This is a deliciously fruity wine with tropical fruit tones, a light mineral texture and fine, crisp acidity. From vines planted at 1500 feet above the river, it is fresh, cool and ready to drink.",Portugal,Portuguese White
"Freshly aromatic, this is a Portuguese equivalent of a Gewürztraminer. It has all the lychees and spice as well as a thick, almost viscous texture. Good acidity helps the balance. Delicious, as an apéritif or with Asian food.",Portugal,Fernão Pires
"It's called Assemblage because the wine is a blend of Touriga Nacional and Cabernet Sauvignon. This big wine, with its dense structure, texture and superripe fruit, is certainly rich. The tannins and the acidity do hold everything in check. But it's not a wine for aging.",Portugal,Touriga Nacional-Cabernet Sauvignon
"A soft, but spicy wine made from the Portuguese version of Tempranillo, giving rounded, silky tannins, balanced with fresh red berry fruits. With its acid highlights, it needs time to calm down, but it should be attractively ripe in one year.",Portugal,Aragonês
"From a winery that only started operations in 2001, one of the new wave in the Alentejo. This Reserva is in a modern, smooth style, big and powerful. But there's one welcome wrinkle in all this smooth fruit, and that is a dash of Cabernet Sauvignon which gives just the right amount of tannins and interestingly fresh acidity.",Portugal,Portuguese Red
"The perfumes are the central theme of this wine, aromas of roses and flavors of spice, cinnamon, going through the ripe fruit and suggestions of wood. It is a superripe wine, but one which manages to keep in balance.",Portugal,Syrah
"Fresh, crisp and fruity, this is a citrus and apple-flavored medium-dry wine. With plenty of acidity, bright and packed with easy fruitiness, the wine is ready to drink.",Portugal,Portuguese White
"This soft, rather rustic wine has tannins, red fruits and a dry core. It is simple, juicy while rough round the edges. Drink now.",Portugal,Portuguese Red
